player,stat_type,line,recommendation,best_edge,prob_over_calibrated,pred_mean,over_odds,under_odds,defense_multiplier,home_away_multiplier,opponent_team
Dontayvion Wicks,receptions,2.5,UNDER,0.2107871551124508,0.3486842105263157,1.4046039421052054,-162.0,127.0,0.6021554480347856,1.3199999999999998,PHI
Kyler Murray,rushing_yards,29.5,UNDER,0.2107757545522575,0.2631578947368421,20.201465917104997,-113.0,-111.0,0.5650775713200249,0.9484444444444444,TEN
James Conner,rushing_yards,70.5,UNDER,0.2107757545522575,0.2631578947368421,19.905381667302695,-113.0,-111.0,0.5515919721207541,1.0,SF
Chuba Hubbard,rushing_yards,65.5,UNDER,0.2107757545522575,0.2631578947368421,17.57963090257756,-113.0,-111.0,0.557749422681278,1.020138888888889,NO
Kareem Hunt,rushing_yards,46.5,UNDER,0.2107757545522575,0.2631578947368421,19.98586923710725,-113.0,-111.0,0.5706785661248677,1.1068493150684933,BUF
Michael Wilson,receptions,3.5,UNDER,0.2088379133674895,0.3486842105263157,1.8462273312453912,-161.0,126.0,0.6184121638755616,1.0622222222222222,SEA
Jonnu Smith,receptions,2.5,UNDER,0.2088379133674895,0.3486842105263157,1.6828508288487984,-162.0,126.0,0.5878422712933754,1.0285714285714287,LAC
Tyrone Tracy Jr.,rushing_yards,52.5,UNDER,0.2085402184707051,0.2631578947368421,22.742431829021623,-112.0,-112.0,0.5641780787809372,1.4830188679245282,CHI
Chuba Hubbard,rushing_yards,55.5,UNDER,0.2085402184707051,0.2631578947368421,17.57963090257756,-112.0,-112.0,0.557749422681278,1.020138888888889,NO
Jameis Winston,rushing_yards,11.5,UNDER,0.2085402184707051,0.2631578947368421,0.0,-112.0,-112.0,0.5480334454981136,1.0,LAC
Tyler Shough,rushing_yards,18.5,UNDER,0.2085402184707051,0.2631578947368421,3.146847765493916,-112.0,-112.0,0.5498523927531699,1.0,CAR
Ja'Marr Chase,receptions,6.5,OVER,0.2073891625615763,0.7,9.026376193240967,103.0,-132.0,0.6083156041376274,1.3854545454545455,CHI
Alvin Kamara,receptions,2.5,UNDER,0.2063492063492064,0.3492063492063492,1.2829888883026666,-159.0,125.0,0.5949030588735689,0.8526315789473684,CAR
Daniel Jones,rushing_yards,28.5,UNDER,0.2063256733382753,0.2631578947368421,5.342496951718546,-111.0,-113.0,0.5685364318227027,1.363963963963964,ATL
Rachaad White,rushing_yards,64.5,UNDER,0.2063256733382753,0.2631578947368421,19.77240388703771,-111.0,-113.0,0.540058572177442,0.9419689119170984,NE
Hassan Haskins,rushing_yards,18.5,UNDER,0.2063256733382753,0.2631578947368421,3.913642608630573,-111.0,-113.0,0.5430555065709367,0.9428571428571428,IND
Kareem Hunt,rushing_yards,44.5,UNDER,0.2063256733382753,0.2631578947368421,19.98586923710725,-111.0,-113.0,0.5706785661248677,1.1068493150684933,BUF
Jake Browning,rushing_yards,7.5,UNDER,0.2063256733382753,0.2631578947368421,3.9424258784314694,-111.0,-113.0,0.5432965428919628,2.4285714285714284,DET
George Kittle,receiving_yards,55.5,UNDER,0.2060699735251115,0.2634135945500058,18.632984970586296,-111.0,-113.0,0.6012451298936923,1.104,LA
Rashee Rice,receptions,6.5,UNDER,0.2048872180451128,0.3486842105263157,4.786114094263653,-159.0,124.0,0.5861643342578282,1.0,BUF
