player,stat_type,line,recommendation,best_edge,prob_over_calibrated,pred_mean,over_odds,under_odds,defense_multiplier,home_away_multiplier,opponent_team
Adam Trautman,receiving_yards,7.5,OVER,0.0800314877984781,0.5945945945945946,8.017253343829958,-106.0,-119.0,0.5981982364655004,0.9391304347826088,LV
Davis Mills,passing_yards,210.5,UNDER,0.0799942553497056,0.3939393939393939,58.779478495666254,-113.0,-111.0,0.5191679107386672,1.0,JAX
Daniel Jones,passing_yards,227.5,UNDER,0.0799942553497056,0.3939393939393939,140.36278829779752,-113.0,-111.0,0.5132777160443508,0.9664285714285714,ATL
Caleb Williams,passing_yards,216.5,UNDER,0.0799942553497056,0.3939393939393939,126.11156626039126,-113.0,-111.0,0.5177853443394596,0.9640776699029128,NYG
Michael Penix Jr.,passing_yards,224.5,UNDER,0.0799942553497056,0.3939393939393939,104.36552704902918,-113.0,-111.0,0.5183959516808555,0.8636933797909407,IND
Michael Penix Jr.,passing_yards,227.5,UNDER,0.0799942553497056,0.3939393939393939,104.36552704902918,-113.0,-111.0,0.5183959516808555,0.8636933797909407,IND
TreVeyon Henderson,receptions,2.5,UNDER,0.0793595789362523,0.4037322085033612,1.6401394803023204,-119.0,-107.0,0.5921422426154287,1.7111111111111112,NYJ
Tyquan Thornton,receiving_yards,3.5,OVER,0.0792845655913326,0.6098009975162153,34.136675822900415,-113.0,-111.0,0.5849011991735937,1.1559633027522935,BUF
Woody Marks,receptions,2.5,UNDER,0.0792612321625457,0.3902223359125716,1.6604028834948483,-113.0,-113.0,0.6206624605678234,1.48,JAX
Kyren Williams,rushing_yards,72.5,UNDER,0.0791193696421251,0.3859969094276422,42.16647527591577,-109.0,-115.0,0.5515919721207541,0.9349068322981366,SF
Xavier Legette,receptions,2.5,UNDER,0.0788177339901477,0.4285714285714285,1.310097454692435,-131.0,103.0,0.5963880126182965,0.7714285714285714,NO
Chigoziem Okonkwo,receptions,3.5,UNDER,0.0786662168241116,0.3486842105263157,1.896837553096095,105.0,-134.0,0.5878422712933754,1.0,LAC
