week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit,result
4,D.Wicks,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,2,UNDER,OVER,False,False,-1.0,unknown
6,O.Gadsden,TE,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,7,OVER,OVER,True,True,0.909,unknown
4,M.Andrews,TE,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,7,OVER,OVER,True,True,0.909,unknown
7,D.Goedert,TE,player_receptions,Over 4.5,4.5,0.5987063256829237,4.8,0.5238095238095238,0.0748968018733998,3,UNDER,OVER,False,False,-1.0,unknown
5,Q.Judkins,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,1,UNDER,OVER,False,False,-1.0,unknown
4,C.Brown,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,3,OVER,OVER,True,True,0.909,unknown
7,M.Mims,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,6,OVER,OVER,True,True,0.909,unknown
4,C.Ridley,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,2,UNDER,OVER,False,False,-1.0,unknown
5,K.Allen,WR,player_receptions,Over 4.5,4.5,0.5987063256829237,4.8,0.5238095238095238,0.0748968018733998,5,OVER,OVER,True,True,0.909,unknown
7,M.Washington,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,5,OVER,OVER,True,True,0.909,unknown
4,K.Turpin,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,3,OVER,OVER,True,True,0.909,unknown
4,C.Austin,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,2,UNDER,OVER,False,False,-1.0,unknown
8,J.Jacobs,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,3,OVER,OVER,True,True,0.909,unknown
7,R.Harvey,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,1,UNDER,OVER,False,False,-1.0,unknown
7,T.Tremble,TE,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,1,UNDER,OVER,False,False,-1.0,unknown
4,B.Cooks,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,3,OVER,OVER,True,True,0.909,unknown
4,J.Palmer,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,2,UNDER,OVER,False,False,-1.0,unknown
4,T.Benson,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,5,OVER,OVER,True,True,0.909,unknown
4,B.Robinson,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,4,OVER,OVER,True,True,0.909,unknown
5,K.Bourne,WR,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,10,OVER,OVER,True,True,0.909,unknown
8,D.Swift,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,2,UNDER,OVER,False,False,-1.0,unknown
5,E.Engram,TE,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,4,OVER,OVER,True,True,0.909,unknown
6,T.McMillan,WR,player_receptions,Over 4.5,4.5,0.5987063256829237,4.8,0.5238095238095238,0.0748968018733998,3,UNDER,OVER,False,False,-1.0,unknown
3,D.Maye,QB,player_pass_yds,Under 274.5,274.5,0.5977711597642017,258.5,0.5238095238095238,0.0739616359546778,268,UNDER,UNDER,True,True,0.909,unknown
7,D.Schultz,TE,player_reception_yds,Under 39.5,39.5,0.5976665471646778,37.2,0.5238095238095238,0.0738570233551539,98,OVER,UNDER,False,False,-1.0,unknown
2,C.Stroud,QB,player_pass_yds,Under 199.5,199.5,0.596648221965925,188.0,0.5238095238095238,0.0728386981564012,207,OVER,UNDER,False,False,-1.0,unknown
2,D.Prescott,QB,player_pass_yds,Under 199.5,199.5,0.596648221965925,188.0,0.5238095238095238,0.0728386981564012,361,OVER,UNDER,False,False,-1.0,unknown
5,T.Tagovailoa,QB,player_pass_yds,Under 199.5,199.5,0.596648221965925,188.0,0.5238095238095238,0.0728386981564012,256,OVER,UNDER,False,False,-1.0,unknown
5,J.Herbert,QB,player_pass_yds,Over 249.5,249.5,0.5966133484355334,265.75,0.5238095238095238,0.0728038246260095,166,UNDER,OVER,False,False,-1.0,unknown
6,J.Cook,RB,player_rush_yds,Over 84.5,84.5,0.596556688074097,90.0,0.5238095238095238,0.0727471642645731,87,OVER,OVER,True,True,0.909,unknown
7,C.McCaffrey,RB,player_reception_yds,Over 69.5,69.5,0.5960915153267501,74.0,0.5238095238095238,0.0722819915172262,72,OVER,OVER,True,True,0.909,unknown
2,L.McConkey,WR,player_reception_yds,Over 69.5,69.5,0.5960915153267501,74.0,0.5238095238095238,0.0722819915172262,48,UNDER,OVER,False,False,-1.0,unknown
6,R.Odunze,WR,player_reception_yds,Over 69.5,69.5,0.5960915153267501,74.0,0.5238095238095238,0.0722819915172262,32,UNDER,OVER,False,False,-1.0,unknown
