week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit
1,K.Shakir,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,64,OVER,OVER,True,True,0.909
1,J.Cook,RB,player_receptions,Under 6.5,6.5,0.92,3.0,0.5238095238095238,0.3961904761904762,5,UNDER,UNDER,True,True,0.909
1,J.Cook,RB,player_rush_yds,Under 84.5,84.5,0.92,60.0,0.5238095238095238,0.3961904761904762,44,UNDER,UNDER,True,True,0.909
1,J.Cook,RB,player_receptions,Under 5.5,5.5,0.92,3.0,0.5238095238095238,0.3961904761904762,5,UNDER,UNDER,True,True,0.909
1,J.Cook,RB,player_receptions,Under 4.5,4.5,0.92,3.0,0.5238095238095238,0.3961904761904762,5,OVER,UNDER,False,False,-1.0
1,J.Cook,RB,player_reception_yds,Under 84.5,84.5,0.92,25.0,0.5238095238095238,0.3961904761904762,58,UNDER,UNDER,True,True,0.909
1,J.Cook,RB,player_reception_yds,Under 69.5,69.5,0.92,25.0,0.5238095238095238,0.3961904761904762,58,UNDER,UNDER,True,True,0.909
1,J.Cook,RB,player_reception_yds,Under 54.5,54.5,0.92,25.0,0.5238095238095238,0.3961904761904762,58,OVER,UNDER,False,False,-1.0
1,J.Cook,RB,player_reception_yds,Under 39.5,39.5,0.92,25.0,0.5238095238095238,0.3961904761904762,58,OVER,UNDER,False,False,-1.0
1,B.Robinson,RB,player_rush_yds,Under 84.5,84.5,0.92,60.0,0.5238095238095238,0.3961904761904762,33,UNDER,UNDER,True,True,0.909
1,K.Turpin,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,2,UNDER,OVER,False,False,-1.0
1,J.Taylor,RB,player_receptions,Under 4.5,4.5,0.92,3.0,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,D.Wicks,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,2,UNDER,OVER,False,False,-1.0
1,D.Wicks,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,UNDER,UNDER,True,True,0.909
1,D.Wicks,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,OVER,OVER,True,True,0.909
1,X.Smith,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,1,UNDER,OVER,False,False,-1.0
1,X.Smith,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,36,UNDER,UNDER,True,True,0.909
1,X.Smith,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,36,UNDER,UNDER,True,True,0.909
1,X.Smith,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,36,OVER,OVER,True,True,0.909
1,K.Walker,RB,player_receptions,Under 6.5,6.5,0.92,3.0,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,K.Walker,RB,player_receptions,Under 5.5,5.5,0.92,3.0,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,K.Walker,RB,player_receptions,Under 4.5,4.5,0.92,3.0,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,K.Walker,RB,player_rush_yds,Over 19.5,19.5,0.92,60.0,0.5238095238095238,0.3961904761904762,20,OVER,OVER,True,True,0.909
1,B.Hall,RB,player_receptions,Under 5.5,5.5,0.92,3.0,0.5238095238095238,0.3961904761904762,2,UNDER,UNDER,True,True,0.909
1,B.Hall,RB,player_receptions,Under 4.5,4.5,0.92,3.0,0.5238095238095238,0.3961904761904762,2,UNDER,UNDER,True,True,0.909
1,B.Hall,RB,player_reception_yds,Under 84.5,84.5,0.92,25.0,0.5238095238095238,0.3961904761904762,38,UNDER,UNDER,True,True,0.909
1,B.Hall,RB,player_reception_yds,Under 69.5,69.5,0.92,25.0,0.5238095238095238,0.3961904761904762,38,UNDER,UNDER,True,True,0.909
1,B.Hall,RB,player_reception_yds,Under 54.5,54.5,0.92,25.0,0.5238095238095238,0.3961904761904762,38,UNDER,UNDER,True,True,0.909
1,D.Wicks,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,UNDER,UNDER,True,True,0.909
1,B.Robinson,RB,player_rush_yds,Over 19.5,19.5,0.92,60.0,0.5238095238095238,0.3961904761904762,24,OVER,OVER,True,True,0.909
1,J.Ruckert,TE,player_reception_yds,Over 24.5,24.5,0.92,45.0,0.5238095238095238,0.3961904761904762,16,UNDER,OVER,False,False,-1.0
1,B.Robinson,RB,player_reception_yds,Under 39.5,39.5,0.92,25.0,0.5238095238095238,0.3961904761904762,100,OVER,UNDER,False,False,-1.0
1,Q.Johnston,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,5,OVER,OVER,True,True,0.909
1,Q.Johnston,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,79,UNDER,UNDER,True,True,0.909
1,Q.Johnston,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,79,OVER,UNDER,False,False,-1.0
1,Q.Johnston,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,79,OVER,OVER,True,True,0.909
1,J.Smith-Njigba,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,9,OVER,UNDER,False,False,-1.0
1,J.Smith-Njigba,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,9,OVER,OVER,True,True,0.909
1,J.Smith-Njigba,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,124,OVER,UNDER,False,False,-1.0
1,J.Smith-Njigba,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,124,OVER,UNDER,False,False,-1.0
1,J.Smith-Njigba,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,124,OVER,OVER,True,True,0.909
1,B.Robinson,RB,player_receptions,Under 6.5,6.5,0.92,3.0,0.5238095238095238,0.3961904761904762,6,UNDER,UNDER,True,True,0.909
1,B.Robinson,RB,player_receptions,Under 5.5,5.5,0.92,3.0,0.5238095238095238,0.3961904761904762,6,OVER,UNDER,False,False,-1.0
1,B.Robinson,RB,player_receptions,Under 4.5,4.5,0.92,3.0,0.5238095238095238,0.3961904761904762,6,OVER,UNDER,False,False,-1.0
1,B.Robinson,RB,player_reception_yds,Under 84.5,84.5,0.92,25.0,0.5238095238095238,0.3961904761904762,100,OVER,UNDER,False,False,-1.0
1,B.Robinson,RB,player_reception_yds,Under 69.5,69.5,0.92,25.0,0.5238095238095238,0.3961904761904762,100,OVER,UNDER,False,False,-1.0
1,B.Robinson,RB,player_reception_yds,Under 54.5,54.5,0.92,25.0,0.5238095238095238,0.3961904761904762,100,OVER,UNDER,False,False,-1.0
1,B.Hall,RB,player_reception_yds,Under 39.5,39.5,0.92,25.0,0.5238095238095238,0.3961904761904762,38,UNDER,UNDER,True,True,0.909
1,B.Hall,RB,player_rush_yds,Under 84.5,84.5,0.92,60.0,0.5238095238095238,0.3961904761904762,107,OVER,UNDER,False,False,-1.0
1,B.Hall,RB,player_rush_yds,Over 19.5,19.5,0.92,60.0,0.5238095238095238,0.3961904761904762,107,OVER,OVER,True,True,0.909
1,W.Robinson,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,6,UNDER,UNDER,True,True,0.909
1,C.Austin,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,4,OVER,OVER,True,True,0.909
1,C.Austin,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,70,UNDER,UNDER,True,True,0.909
1,C.Austin,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,70,OVER,UNDER,False,False,-1.0
1,C.Austin,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,70,OVER,OVER,True,True,0.909
