week,player,stat_type,line,pred_mean,actual,bet_side,model_prob,edge,won
7,Travis Kelce,receptions,3.5,4.937939999999999,3,over,0.7158305870137867,0.13599865424067736,False
7,Ashton Jeanty,receptions,3.5,0.0,1,under,1.0,0.43103448275862066,True
7,Marquise Brown,receptions,2.5,3.3558199999999996,2,over,0.6652364225163769,0.16028592746687198,False
7,Brashard Smith,receptions,1.5,0.0,5,under,1.0,0.574468085106383,False
7,Isiah Pacheco,receptions,1.5,0.0,1,under,1.0,0.5145631067961165,True
7,Ashton Jeanty,rushing_yards,59.5,84.26886856016542,21,over,0.6847005286898029,0.1563986418973501,False
7,Isiah Pacheco,rushing_yards,45.5,77.4314388381335,57,over,0.750106454917008,0.21959002299212538,True
7,Kareem Hunt,rushing_yards,27.5,74.10417206343135,18,over,0.8491808584513796,0.3142971375211471,False
7,Carson Wentz,passing_yards,226.5,157.68230281756252,313,under,0.8104478164806296,0.27993138455574695,False
7,Jalen Hurts,passing_yards,205.5,167.85076752409427,326,under,0.6744466944204737,0.1483803437095732,False
7,Justin Jefferson,receiving_yards,85.5,67.84760349727418,79,under,0.6741899582545929,0.14812360754369247,True
7,Dallas Goedert,receiving_yards,44.5,85.9848617572401,18,over,0.7999452094169253,0.2761356856074014,False
7,T.J. Hockenson,receiving_yards,31.5,49.35456769993699,43,over,0.702696237225193,0.1721798053003104,True
7,Saquon Barkley,receiving_yards,17.5,0.0,-2,under,1.0,0.4672897196261683,True
7,Jalen Nailor,receiving_yards,15.5,36.83976144811631,37,over,0.7740688822253119,0.23918516129507938,True
7,Jordan Mason,receiving_yards,9.5,0.0,0,under,1.0,0.48309178743961356,True
7,Justin Jefferson,receptions,5.5,5.1493649999999995,5,under,0.5562296558337119,0.09751405950343661,True
7,DeVonta Smith,receptions,4.5,3.8240800000000004,9,under,0.6241422775891374,0.05332682694536062,False
7,Dallas Goedert,receptions,4.5,5.446909999999999,3,over,0.6398195797575624,0.15672779231794892,False
7,Saquon Barkley,receptions,2.5,0.0,1,under,1.0,0.5575221238938053,True
7,Jordan Mason,receptions,2.5,0.0,0,under,1.0,0.33783783783783783,True
7,Jalen Nailor,receptions,1.5,2.42112,2,over,0.7055306610109019,0.1663601540984595,True
7,Zavier Scott,rushing_yards,15.5,83.1972724421707,4,over,0.910369275183201,0.37985284325831836,False
7,Drake Maye,passing_yards,229.5,152.7878068078072,222,under,0.8434119723740429,0.3173456216631424,True
7,Elic Ayomanor,receiving_yards,37.5,44.491327644155824,29,over,0.5871073196283684,0.06329779581884454,False
7,Gunnar Helm,receiving_yards,18.5,24.77096488967428,36,over,0.6083813877176742,0.07349766678744174,True
7,DeMario Douglas,receiving_yards,16.5,32.615853090836104,17,over,0.737017301245169,0.20213358031493645,True
7,TreVeyon Henderson,receiving_yards,14.5,0.0,0,under,1.0,0.4651162790697675,True
7,Rhamondre Stevenson,receiving_yards,12.5,0.0,0,under,1.0,0.4694835680751174,True
7,Tony Pollard,receiving_yards,8.5,0.0,43,under,1.0,0.4629629629629629,False
7,Stefon Diggs,receptions,4.5,3.8240800000000004,7,under,0.6241422775891374,0.12165471540008266,False
7,Hunter Henry,receptions,3.5,2.5480699999999996,4,under,0.7001133920974234,0.1292979414536466,False
7,TreVeyon Henderson,receptions,2.5,0.0,0,under,1.0,0.3921568627450981,True
7,Gunnar Helm,receptions,2.5,1.72921,4,under,0.6972056961151396,0.08182108073052419,False
7,Rhamondre Stevenson,receptions,2.5,0.0,2,under,1.0,0.36363636363636365,True
7,DeMario Douglas,receptions,2.5,2.366,3,over,0.46834206488031094,0.058505999306540435,True
7,Chimere Dike,receptions,1.5,1.60485,4,under,0.46981490181102414,0.05997883623725364,False
7,Tony Pollard,receptions,1.5,0.0,6,under,1.0,0.4694835680751174,False
7,Tony Pollard,rushing_yards,47.5,75.2913906132456,18,over,0.7290537800936142,0.20752267961514537,False
7,Rhamondre Stevenson,rushing_yards,44.5,93.19514230427617,88,over,0.8121040838835978,0.28829456007407395,True
7,TreVeyon Henderson,rushing_yards,36.5,80.03780416520776,5,over,0.8158105432913755,0.28310026291754375,False
7,Bo Nix,passing_yards,219.5,155.50990621122364,279,under,0.7963404064297969,0.26582397450491424,False
