player,stat_type,line,over_odds,under_odds,actual_value,went_over,pred_mean_raw,pred_mean,defense_multiplier,home_away_multiplier,game_script_multiplier,target_share_multiplier,target_share,catch_rate_multiplier,catch_rate,cpoe_multiplier,cpoe,yac_multiplier,yac_pct,is_home,opponent_team,pred_std,prob_over_raw,week,position,prob_over_calibrated,market_prob_over,market_prob_under,edge_over,edge_under
Jaylen Warren,receiving_yards,16.5,-114.0,-110.0,21,1,13.903233386096828,11.549464927470748,0.915334873996424,1.0075471698113208,1.0033333333333332,0.9,0.1202997962760794,0.95,0.875,1.0,,1.05,1.0880829015544042,False,LAC,28.640630479891925,0.4313846383528651,10,RB,0.5100548446069469,0.5327102803738317,0.5238095238095238,-0.0226554357668847,-0.0338643684164707
Jaylen Warren,receiving_yards,17.5,-108.0,-117.0,21,1,13.903233386096828,11.549464927470748,0.915334873996424,1.0075471698113208,1.0033333333333332,0.9,0.1202997962760794,0.95,0.875,1.0,,1.05,1.0880829015544042,False,LAC,28.640630479891925,0.4177060337001362,10,RB,0.5030574858426096,0.5192307692307693,0.5391705069124424,-0.0161732833881597,-0.0422279927550519
Jaylen Warren,receiving_yards,20.5,-116.0,-108.0,21,1,13.903233386096828,11.549464927470748,0.915334873996424,1.0075471698113208,1.0033333333333332,0.9,0.1202997962760794,0.95,0.875,1.0,,1.05,1.0880829015544042,False,LAC,28.640630479891925,0.3773257971879646,10,RB,0.4385964912280701,0.5370370370370371,0.5192307692307693,-0.0984405458089669,0.0421727395411605
Jaylen Warren,receiving_yards,21.5,-116.0,-108.0,21,0,13.903233386096828,11.549464927470748,0.915334873996424,1.0075471698113208,1.0033333333333332,0.9,0.1202997962760794,0.95,0.875,1.0,,1.05,1.0880829015544042,False,LAC,28.640630479891925,0.3641351875653984,10,RB,0.433688900717907,0.5370370370370371,0.5192307692307693,-0.10334813631913,0.0470803300513237
Jaylen Warren,receptions,1.5,-179.0,140.0,2,1,2.561033798926079,2.289451909984465,0.9304367106278844,1.12,1.0033333333333332,0.9,0.1202997962760794,0.95,0.875,1.0,,1.0,,False,LAC,1.2909944487358056,0.7295679476353734,10,RB,0.4862385321100917,0.6415770609318996,0.4166666666666667,-0.1553385288218078,0.0970948012232416
Jaylen Warren,receptions,3.5,119.0,-152.0,2,0,2.561033798926079,2.289451909984465,0.9304367106278844,1.12,1.0033333333333332,0.9,0.1202997962760794,0.95,0.875,1.0,,1.0,,False,LAC,1.2909944487358056,0.1742027670376528,10,RB,0.3033707865168539,0.45662100456621,0.6031746031746031,-0.153250218049356,0.0934546103085428
Jaylen Warren,rushing_yards,48.5,-112.0,-112.0,70,1,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.7257805517374543,10,RB,0.5470854690766934,0.5283018867924528,0.5283018867924528,0.0187835822842405,-0.0753873558691462
Jaylen Warren,rushing_yards,50.5,-115.0,-109.0,70,1,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.704677348822445,10,RB,0.5123518813674639,0.5348837209302325,0.5215311004784688,-0.0225318395627686,-0.0338829818459327
Jaylen Warren,rushing_yards,52.5,-109.0,-115.0,70,1,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.6828563786718329,10,RB,0.5087719298245613,0.5215311004784688,0.5348837209302325,-0.0127591706539075,-0.0436556507547938
Jaylen Warren,rushing_yards,53.5,-114.0,-110.0,70,1,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.6716960387263509,10,RB,0.5087719298245613,0.5327102803738317,0.5238095238095238,-0.0239383505492704,-0.0325814536340851
Jaylen Warren,rushing_yards,55.5,-111.0,-113.0,70,1,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.6489181642112238,10,RB,0.5087719298245613,0.5260663507109005,0.5305164319248826,-0.0172944208863391,-0.0392883617494439
Jaylen Warren,rushing_yards,57.5,-112.0,-112.0,70,1,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.6255921947071796,10,RB,0.5087719298245613,0.5283018867924528,0.5283018867924528,-0.0195299569678915,-0.0370738166170141
Jaylen Warren,rushing_yards,60.5,-111.0,-113.0,70,1,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.5897498745210933,10,RB,0.4943302313567069,0.5260663507109005,0.5305164319248826,-0.0317361193541935,-0.0248466632815895
Jaylen Warren,rushing_yards,79.5,-113.0,-111.0,70,0,59.78198249470539,67.79588270306198,0.956997156560121,1.1823834196891192,1.0022222222222223,1.0,,1.0,,1.0,,1.0,,False,LAC,32.1543894655887,0.3579299390734775,10,RB,0.375,0.5305164319248826,0.5260663507109005,-0.1555164319248826,0.0989336492890995
Jaylin Lane,receiving_yards,12.5,-114.0,-110.0,41,1,24.379250206068175,23.96021534851916,0.9811053133606872,1.0833333333333333,1.03,0.9,0.1192974194759592,1.05,0.5,1.0,,0.95,0.2163742690058479,True,DET,20.21756661915573,0.7145900646531529,10,WR,0.520618556701031,0.5327102803738317,0.5238095238095238,-0.0120917236728007,-0.0444280805105548
Jaylin Lane,receiving_yards,15.5,-116.0,-108.0,41,1,24.379250206068175,23.96021534851916,0.9811053133606872,1.0833333333333333,1.03,0.9,0.1192974194759592,1.05,0.5,1.0,,0.95,0.2163742690058479,True,DET,20.21756661915573,0.6621940883257198,10,WR,0.5137151296916409,0.5370370370370371,0.5192307692307693,-0.0233219073453961,-0.0329458989224101
Jaylin Lane,receiving_yards,18.5,-110.0,-114.0,41,1,24.379250206068175,23.96021534851916,0.9811053133606872,1.0833333333333333,1.03,0.9,0.1192974194759592,1.05,0.5,1.0,,0.95,0.2163742690058479,True,DET,20.21756661915573,0.606447886305462,10,WR,0.5100548446069469,0.5238095238095238,0.5327102803738317,-0.0137546792025768,-0.0427651249807786
Jaylin Lane,receiving_yards,19.5,-113.0,-111.0,41,1,24.379250206068175,23.96021534851916,0.9811053133606872,1.0833333333333333,1.03,0.9,0.1192974194759592,1.05,0.5,1.0,,0.95,0.2163742690058479,True,DET,20.21756661915573,0.5873022891843884,10,WR,0.5100548446069469,0.5305164319248826,0.5260663507109005,-0.0204615873179356,-0.0361211953178474
Jaylin Lane,receiving_yards,20.5,-112.0,-112.0,41,1,24.379250206068175,23.96021534851916,0.9811053133606872,1.0833333333333333,1.03,0.9,0.1192974194759592,1.05,0.5,1.0,,0.95,0.2163742690058479,True,DET,20.21756661915573,0.5679466774174711,10,WR,0.5100548446069469,0.5283018867924528,0.5283018867924528,-0.0182470421855058,-0.0383567313993997
Jaylin Lane,receiving_yards,21.5,-115.0,-109.0,41,1,24.379250206068175,23.96021534851916,0.9811053133606872,1.0833333333333333,1.03,0.9,0.1192974194759592,1.05,0.5,1.0,,0.95,0.2163742690058479,True,DET,20.21756661915573,0.548426551646394,10,WR,0.5100548446069469,0.5348837209302325,0.5215311004784688,-0.0248288763232855,-0.0315859450854157
Jaylin Lane,receiving_yards,26.5,-114.0,-110.0,41,1,24.379250206068175,23.96021534851916,0.9811053133606872,1.0833333333333333,1.03,0.9,0.1192974194759592,1.05,0.5,1.0,,0.95,0.2163742690058479,True,DET,20.21756661915573,0.4500153094671906,10,WR,0.5100548446069469,0.5327102803738317,0.5238095238095238,-0.0226554357668847,-0.0338643684164707
Jaylin Noel,receiving_yards,9.5,-117.0,-108.0,35,1,29.740290365924285,24.55010670131008,1.0704949712811775,0.9041584158415842,0.95,0.9,0.0680511226250135,1.05,0.7,1.0,,0.95,0.3580246913580246,True,JAX,31.294682341527977,0.6847118229796878,10,WR,0.520618556701031,0.5391705069124424,0.5192307692307693,-0.0185519502114114,-0.0398493259318002
Jaylin Noel,receiving_yards,13.5,-112.0,-112.0,35,1,29.740290365924285,24.55010670131008,1.0704949712811775,0.9041584158415842,0.95,0.9,0.0680511226250135,1.05,0.7,1.0,,0.95,0.3580246913580246,True,JAX,31.294682341527977,0.6379927169826008,10,WR,0.5100548446069469,0.5283018867924528,0.5283018867924528,-0.0182470421855058,-0.0383567313993997
Jaylin Noel,receiving_yards,16.5,-114.0,-110.0,35,1,29.740290365924285,24.55010670131008,1.0704949712811775,0.9041584158415842,0.95,0.9,0.0680511226250135,1.05,0.7,1.0,,0.95,0.3580246913580246,True,JAX,31.294682341527977,0.6015015520590473,10,WR,0.5100548446069469,0.5327102803738317,0.5238095238095238,-0.0226554357668847,-0.0338643684164707
Jaylin Noel,receiving_yards,38.5,-112.0,-112.0,35,0,29.740290365924285,24.55010670131008,1.0704949712811775,0.9041584158415842,0.95,0.9,0.0680511226250135,1.05,0.7,1.0,,0.95,0.3580246913580246,True,JAX,31.294682341527977,0.3278855897663315,10,WR,0.3786642394655425,0.5283018867924528,0.5283018867924528,-0.1496376473269103,0.0930338737420046
Jaylin Noel,receptions,1.5,-164.0,128.0,4,1,2.1973016400446963,2.1008109180382992,1.064981030433426,1.0,0.95,0.9,0.0680511226250135,1.05,0.7,1.0,,1.0,,True,JAX,1.8322507626258089,0.6285096424423794,10,WR,0.4862385321100917,0.6212121212121212,0.4385964912280701,-0.1349735891020294,0.0751649766618381
Jaylin Noel,receptions,3.5,118.0,-151.0,4,1,2.1973016400446963,2.1008109180382992,1.064981030433426,1.0,0.95,0.9,0.0680511226250135,1.05,0.7,1.0,,1.0,,True,JAX,1.8322507626258089,0.2225394208513114,10,WR,0.3033707865168539,0.4587155963302752,0.601593625498008,-0.1553448098134213,0.095035587985138
Jeremy McNichols,receiving_yards,8.5,-112.0,-112.0,4,0,22.077883746753933,15.71549122338083,0.9811053133606872,0.7098989898989899,1.03,0.9,0.0792163394109397,1.05,0.7058823529411765,1.0,,1.05,1.0387596899224807,True,DET,22.642800811106135,0.6250101079204219,10,RB,0.5100548446069469,0.5283018867924528,0.5283018867924528,-0.0182470421855058,-0.0383567313993997
Jeremy McNichols,receiving_yards,13.5,-108.0,-117.0,4,0,22.077883746753933,15.71549122338083,0.9811053133606872,0.7098989898989899,1.03,0.9,0.0792163394109397,1.05,0.7058823529411765,1.0,,1.05,1.0387596899224807,True,DET,22.642800811106135,0.5389724248572578,10,RB,0.5100548446069469,0.5192307692307693,0.5391705069124424,-0.0091759246238223,-0.0492253515193893
Jeremy McNichols,receiving_yards,14.5,-108.0,-116.0,4,0,22.077883746753933,15.71549122338083,0.9811053133606872,0.7098989898989899,1.03,0.9,0.0792163394109397,1.05,0.7058823529411765,1.0,,1.05,1.0387596899224807,True,DET,22.642800811106135,0.5214053929742517,10,RB,0.5100548446069469,0.5192307692307693,0.5370370370370371,-0.0091759246238223,-0.047091881643984
Jeremy McNichols,receptions,1.5,-105.0,-121.0,1,0,1.8941246693818965,1.3314586345880728,0.9730073743163564,0.7422222222222222,1.03,0.9,0.0792163394109397,1.05,0.7058823529411765,1.0,,1.0,,True,DET,1.772810520855837,0.4621295530210193,10,RB,0.4,0.5121951219512195,0.5475113122171946,-0.1121951219512195,0.0524886877828053
Jerome Ford,receiving_yards,8.5,-113.0,-111.0,0,0,7.909036276382528,6.075177299246418,0.9609017971802838,0.9372972972972972,0.95,0.9,0.0877563585485931,0.95,0.84,1.0,,1.05,1.4342105263157894,False,NYJ,9.273618495495704,0.3968629757192727,10,RB,0.4906419922158848,0.5305164319248826,0.5260663507109005,-0.0398744397089978,-0.0167083429267852
