season,week,game,bet_type,direction,market_line,edge_pts,confidence,won,push,actual_margin,actual_cover,home_rest,away_rest,is_divisional,actual_total
2025,12,NYJ @ BAL,spread,HOME,14.0,16.177420269140054,0.65,True,False,13.0,27.0,7,10,False,
2025,12,PIT @ CHI,spread,HOME,3.0,6.836728635898535,0.65,True,False,3.0,6.0,7,7,False,
2025,12,NE @ CIN,spread,AWAY,-7.5,2.697814147902008,0.5809344244370602,True,False,-6.0,-13.5,7,10,False,
2025,12,NYG @ DET,spread,HOME,14.0,13.193901683621952,0.65,True,False,7.0,21.0,7,7,False,
2025,12,NYG @ DET,total,UNDER,50.5,7.274818235524306,0.5367378320893977,False,False,,,7,7,False,61.0
2025,12,MIN @ GB,spread,HOME,6.5,10.892673299719828,0.65,True,False,17.0,23.5,7,7,True,
2025,12,MIN @ GB,total,OVER,41.5,7.531487875696636,0.531255674684141,False,False,,,7,7,True,29.0
2025,12,IND @ KC,spread,HOME,3.5,8.091955621884862,0.65,True,False,3.0,6.5,7,14,False,
2025,12,IND @ KC,total,UNDER,50.5,6.217918335724688,0.5314004875954097,True,False,,,7,14,False,43.0
2025,12,SEA @ TEN,spread,AWAY,-12.5,10.50131974954292,0.65,True,False,-6.0,-18.5,7,7,False,
2025,12,CLE @ LV,spread,HOME,3.0,5.171292879023255,0.65,False,False,-14.0,-11.0,6,7,False,
2025,12,CLE @ LV,total,OVER,35.5,20.863196615076404,0.5740643479835212,False,False,,,6,7,False,34.0
2025,12,TB @ LA,spread,HOME,7.0,7.331469708481158,0.65,True,False,27.0,34.0,7,7,False,
2025,12,TB @ LA,total,UNDER,49.5,8.247404090883665,0.5408246502498741,True,False,,,7,7,False,41.0
2025,12,CAR @ SF,spread,HOME,7.5,12.924186349897994,0.65,True,False,11.0,18.5,8,8,False,
2025,12,CAR @ SF,total,UNDER,48.5,7.409475271631185,0.5359359550674112,True,False,,,8,8,False,29.0
2025,13,GB @ DET,spread,HOME,2.5,3.5492658545907556,0.6064779756377227,False,False,-7.0,-4.5,4,4,True,
2025,13,GB @ DET,total,UNDER,48.5,7.510531701254425,0.536426078751084,False,False,,,4,4,True,55.0
2025,13,KC @ DAL,spread,AWAY,-3.5,3.5680774336148926,0.6070423230084467,True,False,3.0,-0.5,4,4,False,
2025,13,KC @ DAL,total,UNDER,53.5,6.8089351356491346,0.5364278029757229,False,False,,,4,4,False,59.0
2025,13,CIN @ BAL,spread,HOME,7.0,7.306668743238929,0.65,False,False,-18.0,-11.0,4,4,True,
2025,13,CIN @ BAL,total,UNDER,52.5,9.793748981018016,0.5514171821503446,True,False,,,4,4,True,46.0
2025,13,CHI @ PHI,spread,HOME,7.0,7.858687924755164,0.65,False,False,-9.0,-2.0,5,5,False,
2025,13,CHI @ PHI,total,OVER,43.5,9.061276229609833,0.5394165515988028,False,False,,,5,5,False,39.0
2025,13,LA @ CAR,spread,AWAY,-10.0,7.587205142683757,0.65,True,False,3.0,-7.0,6,7,False,
2025,13,SF @ CLE,spread,AWAY,-5.5,8.231587230698862,0.65,True,False,-18.0,-23.5,7,6,False,
2025,13,SF @ CLE,total,OVER,35.5,23.076335433441567,0.5819209907887175,False,False,,,7,6,False,34.0
2025,13,HOU @ IND,spread,HOME,3.0,6.368752927339155,0.65,False,False,-4.0,-1.0,7,10,True,
2025,13,NO @ MIA,spread,HOME,5.5,10.057352925876614,0.65,True,False,4.0,9.5,14,7,False,
2025,13,ATL @ NYJ,total,OVER,38.5,11.652791183293454,0.5448632460556798,True,False,,,7,7,False,51.0
2025,13,ARI @ TB,spread,HOME,4.5,7.606565218371236,0.65,True,False,3.0,7.5,7,7,False,
2025,13,ARI @ TB,total,OVER,44.5,7.414597531060858,0.5329949590132208,False,False,,,7,7,False,37.0
2025,13,JAX @ TEN,spread,AWAY,-6.0,4.362662475773537,0.6308798742732061,True,False,-22.0,-28.0,7,7,True,
2025,13,MIN @ SEA,spread,HOME,12.5,14.575574863815612,0.65,True,False,26.0,38.5,7,7,False,
2025,13,LV @ LAC,spread,HOME,10.0,14.146502551449512,0.65,True,False,17.0,27.0,14,7,True,
2025,13,LV @ LAC,total,OVER,40.5,8.657816859882612,0.5350641582825246,True,False,,,14,7,True,45.0
2025,13,BUF @ PIT,spread,AWAY,-3.0,2.769095604551689,0.5830728681365507,True,False,-19.0,-22.0,7,10,False,
2025,13,NYG @ NE,spread,HOME,7.0,6.657409767221354,0.65,True,False,18.0,25.0,8,8,False,
2025,14,DAL @ DET,spread,HOME,3.5,6.828090513997734,0.65,True,False,14.0,17.5,7,7,False,
2025,14,DAL @ DET,total,UNDER,55.5,14.595050911826338,0.5810025325606362,False,False,,,7,7,False,74.0
2025,14,SEA @ ATL,spread,AWAY,-7.0,2.1939621687948287,0.5658188650638448,True,False,-28.0,-35.0,7,7,False,
2025,14,PIT @ BAL,spread,HOME,5.5,8.698798329974203,0.65,True,False,-5.0,0.5,10,7,True,
2025,14,CIN @ BUF,spread,HOME,6.0,6.401753199813883,0.65,True,False,5.0,11.0,7,10,False,
2025,14,CIN @ BUF,total,UNDER,54.5,7.944627830354976,0.5432982216754346,False,False,,,7,10,False,73.0
2025,14,TEN @ CLE,spread,HOME,4.5,5.283226514334108,0.65,True,False,-2.0,2.5,7,7,False,
2025,14,TEN @ CLE,total,OVER,33.5,32.126572187270156,0.6,True,False,,,7,7,False,60.0
2025,14,WAS @ MIN,spread,AWAY,-1.5,4.13725427351363,0.6241176282054088,False,False,31.0,29.5,7,7,False,
2025,14,NO @ TB,spread,HOME,7.5,11.088394932488168,0.65,True,False,-4.0,3.5,7,7,True,
2025,14,NO @ TB,total,OVER,41.5,12.058431926799894,0.5500424924962196,True,False,,,7,7,True,44.0
2025,14,DEN @ LV,spread,AWAY,-8.5,7.685843225188374,0.65,True,False,-7.0,-15.5,7,7,True,
2025,14,DEN @ LV,total,OVER,40.5,10.131714533732579,0.5410334438616169,True,False,,,7,7,True,41.0
2025,14,LA @ ARI,spread,AWAY,-9.5,8.566710062982775,0.65,True,False,-28.0,-37.5,7,7,True,
2025,14,LA @ ARI,total,UNDER,49.5,6.318469863833309,0.5312764258259749,False,False,,,7,7,True,62.0
2025,14,CHI @ GB,spread,HOME,6.5,9.106198593515701,0.65,True,False,7.0,13.5,10,9,True,
2025,14,CHI @ GB,total,OVER,44.5,8.551946577191249,0.5380561622685011,True,False,,,10,9,True,49.0
2025,14,HOU @ KC,spread,HOME,4.5,12.37007848588364,0.65,False,False,-10.0,-5.5,10,7,False,
2025,14,HOU @ KC,total,OVER,41.5,19.67280149805098,0.5816421262169116,False,False,,,10,7,False,30.0
2025,15,ATL @ TB,spread,HOME,6.0,8.126574343123895,0.65,True,False,-1.0,5.0,4,4,True,
2025,15,ATL @ TB,total,OVER,43.5,8.07490756160366,0.5351258478929759,True,False,,,4,4,True,57.0
2025,15,CLE @ CHI,spread,HOME,7.5,14.377914043157858,0.65,True,False,28.0,35.5,7,7,False,
2025,15,CLE @ CHI,total,OVER,38.5,25.63348333869222,0.598688910853965,False,False,,,7,7,False,34.0
2025,15,BAL @ CIN,total,UNDER,51.5,7.096757821347106,0.5365483027799376,True,False,,,7,7,True,24.0
2025,15,ARI @ HOU,spread,HOME,10.5,10.445921644459114,0.65,True,False,20.0,30.5,7,7,False,
2025,15,ARI @ HOU,total,OVER,42.5,9.535587562900218,0.5405262471423259,True,False,,,7,7,False,60.0
2025,15,NYJ @ JAX,spread,HOME,13.5,15.145857758706791,0.65,True,False,28.0,41.5,7,7,False,
2025,15,LAC @ KC,spread,HOME,5.5,11.102730351155483,0.65,True,False,-3.0,2.5,7,6,True,
